BASE_YM,SIGNGU_NM,SIGNGU_CD,INCOME_TWO_TMW_INHBT_RATE,INCOME_THREE_TMW_INHBT_RATE,INCOME_FOUR_TMW_INHBT_RATE,INCOME_FIVE_TMW_INHBT_RATE,INCOME_SIX_TMW_INHBT_RATE,INCOME_SEVEN_TMW_INHBT_RATE,INCOME_SEVEN_TMW_ABOVE_INHBT_RATE
"202410","강원특별자치도 강릉시","51150","0.130","0.380","0.250","0.110","0.050","0.030","0.040"
"202410","강원특별자치도 고성군","51820","0.170","0.430","0.240","0.090","0.040","0.020","0.030"
"202410","강원특별자치도 동해시","51170","0.140","0.370","0.250","0.110","0.060","0.030","0.050"
"202410","강원특별자치도 삼척시","51230","0.150","0.390","0.240","0.100","0.050","0.030","0.040"
"202410","강원특별자치도 속초시","51210","0.130","0.380","0.270","0.110","0.050","0.030","0.040"
"202410","강원특별자치도 양구군","51800","0.120","0.390","0.260","0.100","0.050","0.030","0.040"
"202410","강원특별자치도 양양군","51830","0.130","0.420","0.260","0.100","0.050","0.020","0.030"
"202410","강원특별자치도 영월군","51750","0.150","0.410","0.250","0.100","0.050","0.030","0.030"
"202410","강원특별자치도 원주시","51130","0.120","0.360","0.270","0.120","0.060","0.030","0.050"
"202410","강원특별자치도 인제군","51810","0.110","0.390","0.280","0.110","0.050","0.030","0.040"
"202410","강원특별자치도 정선군","51770","0.130","0.410","0.240","0.100","0.050","0.020","0.040"
"202410","강원특별자치도 철원군","51780","0.140","0.390","0.260","0.100","0.050","0.030","0.040"
"202410","강원특별자치도 춘천시","51110","0.130","0.370","0.250","0.110","0.060","0.030","0.050"
"202410","강원특별자치도 태백시","51190","0.160","0.380","0.230","0.100","0.050","0.030","0.050"
"202410","강원특별자치도 평창군","51760","0.130","0.410","0.270","0.100","0.040","0.020","0.030"
"202410","강원특별자치도 홍천군","51720","0.120","0.410","0.270","0.100","0.050","0.020","0.030"
"202410","강원특별자치도 화천군","51790","0.130","0.410","0.270","0.100","0.050","0.020","0.030"
"202410","강원특별자치도 횡성군","51730","0.120","0.430","0.250","0.090","0.040","0.020","0.030"
"202410","경기도 가평군","41820","0.140","0.400","0.250","0.100","0.050","0.020","0.040"
"202410","경기도 고양시 덕양구","41281","0.100","0.330","0.260","0.130","0.070","0.040","0.070"
"202410","경기도 고양시 일산동구","41285","0.090","0.330","0.250","0.130","0.060","0.040","0.090"
"202410","경기도 고양시 일산서구","41287","0.100","0.320","0.260","0.130","0.070","0.040","0.090"
"202410","경기도 과천시","41290","0.070","0.260","0.220","0.130","0.080","0.050","0.170"
"202410","경기도 광명시","41210","0.120","0.330","0.250","0.120","0.070","0.040","0.080"
"202410","경기도 광주시","41610","0.090","0.360","0.280","0.130","0.060","0.030","0.050"
"202410","경기도 구리시","41310","0.100","0.340","0.270","0.130","0.060","0.030","0.060"
"202410","경기도 군포시","41410","0.110","0.340","0.270","0.130","0.060","0.030","0.060"
"202410","경기도 김포시","41570","0.090","0.330","0.270","0.130","0.070","0.040","0.070"
"202410","경기도 남양주시","41360","0.110","0.340","0.270","0.120","0.060","0.030","0.060"
"202410","경기도 동두천시","41250","0.150","0.420","0.250","0.100","0.040","0.020","0.020"
"202410","경기도 부천시 소사구","41194","0.110","0.370","0.260","0.120","0.060","0.030","0.050"
"202410","경기도 부천시 오정구","41196","0.120","0.410","0.270","0.110","0.050","0.020","0.020"
"202410","경기도 부천시 원미구","41192","0.110","0.360","0.260","0.120","0.060","0.030","0.060"
"202410","경기도 성남시 분당구","41135","0.070","0.260","0.220","0.140","0.080","0.050","0.180"
"202410","경기도 성남시 수정구","41131","0.130","0.390","0.240","0.110","0.050","0.030","0.060"
"202410","경기도 성남시 중원구","41133","0.110","0.380","0.270","0.120","0.060","0.030","0.040"
"202410","경기도 수원시 권선구","41113","0.100","0.350","0.280","0.130","0.060","0.030","0.060"
"202410","경기도 수원시 영통구","41117","0.090","0.270","0.240","0.130","0.070","0.050","0.150"
"202410","경기도 수원시 장안구","41111","0.120","0.350","0.250","0.120","0.060","0.030","0.070"
"202410","경기도 수원시 팔달구","41115","0.120","0.380","0.250","0.110","0.050","0.030","0.050"
"202410","경기도 시흥시","41390","0.100","0.360","0.280","0.130","0.060","0.030","0.040"
"202410","경기도 안산시 단원구","41273","0.120","0.410","0.250","0.120","0.050","0.020","0.030"
"202410","경기도 안산시 상록구","41271","0.130","0.380","0.270","0.120","0.050","0.020","0.030"
"202410","경기도 안성시","41550","0.120","0.390","0.260","0.120","0.060","0.030","0.040"
"202410","경기도 안양시 동안구","41173","0.090","0.290","0.250","0.140","0.080","0.050","0.110"
"202410","경기도 안양시 만안구","41171","0.120","0.370","0.260","0.120","0.060","0.030","0.050"
"202410","경기도 양주시","41630","0.120","0.390","0.270","0.110","0.050","0.020","0.030"
"202410","경기도 양평군","41830","0.110","0.380","0.260","0.110","0.050","0.030","0.050"
"202410","경기도 여주시","41670","0.110","0.410","0.270","0.110","0.050","0.020","0.030"
"202410","경기도 연천군","41800","0.130","0.410","0.250","0.100","0.050","0.020","0.030"
"202410","경기도 오산시","41370","0.100","0.330","0.280","0.130","0.070","0.040","0.050"
"202410","경기도 용인시 기흥구","41463","0.100","0.300","0.250","0.130","0.070","0.040","0.110"
"202410","경기도 용인시 수지구","41465","0.080","0.260","0.230","0.130","0.070","0.050","0.170"
"202410","경기도 용인시 처인구","41461","0.110","0.360","0.270","0.120","0.060","0.030","0.050"
"202410","경기도 의왕시","41430","0.090","0.310","0.260","0.130","0.070","0.040","0.090"
"202410","경기도 의정부시","41150","0.120","0.380","0.270","0.120","0.060","0.030","0.040"
"202410","경기도 이천시","41500","0.100","0.360","0.260","0.120","0.060","0.030","0.070"
"202410","경기도 파주시","41480","0.110","0.340","0.270","0.120","0.060","0.040","0.060"
"202410","경기도 평택시","41220","0.090","0.340","0.270","0.130","0.070","0.040","0.060"
"202410","경기도 포천시","41650","0.120","0.460","0.250","0.100","0.040","0.020","0.020"
"202410","경기도 하남시","41450","0.080","0.310","0.270","0.130","0.070","0.040","0.100"
"202410","경기도 화성시","41590","0.080","0.300","0.260","0.130","0.070","0.050","0.110"
"202410","경상남도 거제시","48310","0.080","0.320","0.280","0.140","0.070","0.040","0.070"
"202410","경상남도 거창군","48880","0.140","0.400","0.250","0.100","0.050","0.020","0.040"
"202410","경상남도 고성군","48820","0.120","0.440","0.250","0.100","0.040","0.020","0.030"
"202410","경상남도 김해시","48250","0.110","0.350","0.280","0.130","0.060","0.030","0.050"
"202410","경상남도 남해군","48840","0.150","0.460","0.230","0.080","0.040","0.020","0.020"
"202410","경상남도 밀양시","48270","0.140","0.420","0.250","0.100","0.040","0.020","0.030"
"202410","경상남도 사천시","48240","0.120","0.370","0.260","0.110","0.050","0.030","0.050"
"202410","경상남도 산청군","48860","0.120","0.460","0.250","0.080","0.040","0.020","0.030"
"202410","경상남도 양산시","48330","0.110","0.360","0.270","0.120","0.060","0.030","0.050"
"202410","경상남도 의령군","48720","0.140","0.460","0.230","0.090","0.040","0.020","0.030"
"202410","경상남도 진주시","48170","0.120","0.350","0.260","0.120","0.060","0.030","0.060"
"202410","경상남도 창녕군","48740","0.120","0.450","0.250","0.100","0.040","0.020","0.030"
"202410","경상남도 창원시 마산합포구","48125","0.130","0.380","0.250","0.110","0.060","0.030","0.040"
"202410","경상남도 창원시 마산회원구","48127","0.130","0.380","0.260","0.110","0.060","0.030","0.040"
"202410","경상남도 창원시 성산구","48123","0.080","0.300","0.280","0.140","0.070","0.040","0.090"
"202410","경상남도 창원시 의창구","48121","0.100","0.360","0.280","0.120","0.060","0.030","0.050"
"202410","경상남도 창원시 진해구","48129","0.100","0.340","0.270","0.130","0.070","0.040","0.060"
"202410","경상남도 통영시","48220","0.130","0.390","0.260","0.110","0.050","0.020","0.030"
"202410","경상남도 하동군","48850","0.140","0.440","0.250","0.080","0.040","0.020","0.030"
"202410","경상남도 함안군","48730","0.110","0.410","0.270","0.110","0.050","0.020","0.030"
"202410","경상남도 함양군","48870","0.140","0.440","0.240","0.090","0.040","0.020","0.030"
"202410","경상남도 합천군","48890","0.140","0.460","0.230","0.080","0.040","0.020","0.030"
"202410","경상북도 경산시","47290","0.150","0.410","0.240","0.100","0.050","0.020","0.030"
"202410","경상북도 경주시","47130","0.120","0.410","0.250","0.100","0.050","0.020","0.040"
"202410","경상북도 고령군","47830","0.120","0.460","0.250","0.100","0.040","0.010","0.020"
"202410","경상북도 구미시","47190","0.090","0.340","0.280","0.130","0.060","0.040","0.060"
"202410","경상북도 김천시","47150","0.120","0.380","0.260","0.110","0.050","0.030","0.050"
"202410","경상북도 문경시","47280","0.140","0.410","0.250","0.100","0.050","0.020","0.030"
"202410","경상북도 봉화군","47920","0.130","0.460","0.240","0.080","0.040","0.020","0.030"
"202410","경상북도 상주시","47250","0.130","0.440","0.250","0.090","0.040","0.020","0.030"
"202410","경상북도 성주군","47840","0.110","0.470","0.250","0.080","0.040","0.020","0.030"
"202410","경상북도 안동시","47170","0.140","0.380","0.260","0.100","0.050","0.030","0.040"
"202410","경상북도 영덕군","47770","0.170","0.460","0.220","0.080","0.040","0.020","0.020"
"202410","경상북도 영양군","47760","0.140","0.450","0.250","0.080","0.040","0.020","0.030"
"202410","경상북도 영주시","47210","0.150","0.390","0.260","0.100","0.040","0.020","0.040"
"202410","경상북도 영천시","47230","0.130","0.430","0.250","0.100","0.040","0.020","0.030"
"202410","경상북도 예천군","47900","0.130","0.390","0.240","0.100","0.060","0.030","0.050"
"202410","경상북도 울릉군","47940","0.130","0.360","0.280","0.110","0.050","0.030","0.040"
"202410","경상북도 울진군","47930","0.140","0.410","0.240","0.100","0.050","0.030","0.050"
"202410","경상북도 의성군","47730","0.150","0.470","0.240","0.080","0.030","0.010","0.020"
"202410","경상북도 청도군","47820","0.120","0.470","0.250","0.080","0.040","0.020","0.030"
"202410","경상북도 청송군","47750","0.140","0.430","0.260","0.090","0.040","0.020","0.030"
"202410","경상북도 칠곡군","47850","0.110","0.390","0.270","0.120","0.050","0.020","0.040"
"202410","경상북도 포항시 남구","47111","0.110","0.360","0.250","0.120","0.060","0.030","0.070"
"202410","경상북도 포항시 북구","47113","0.110","0.350","0.260","0.110","0.060","0.040","0.060"
"202410","광주광역시 광산구","29200","0.120","0.360","0.260","0.120","0.060","0.030","0.060"
"202410","광주광역시 남구","29155","0.130","0.360","0.240","0.110","0.060","0.030","0.070"
"202410","광주광역시 동구","29110","0.130","0.380","0.230","0.110","0.060","0.030","0.060"
"202410","광주광역시 북구","29170","0.130","0.370","0.260","0.110","0.060","0.030","0.050"
"202410","광주광역시 서구","29140","0.120","0.350","0.260","0.120","0.060","0.030","0.070"
"202410","대구광역시 군위군","27720","0.120","0.480","0.240","0.080","0.030","0.020","0.030"
"202410","대구광역시 남구","27200","0.170","0.430","0.230","0.090","0.040","0.020","0.020"
"202410","대구광역시 달서구","27290","0.130","0.370","0.260","0.110","0.050","0.030","0.050"
"202410","대구광역시 달성군","27710","0.100","0.360","0.280","0.120","0.070","0.030","0.040"
"202410","대구광역시 동구","27140","0.140","0.380","0.250","0.110","0.050","0.030","0.040"
"202410","대구광역시 북구","27230","0.140","0.370","0.260","0.110","0.060","0.030","0.040"
"202410","대구광역시 서구","27170","0.160","0.440","0.240","0.100","0.040","0.010","0.020"
"202410","대구광역시 수성구","27260","0.120","0.330","0.240","0.120","0.060","0.040","0.100"
"202410","대구광역시 중구","27110","0.130","0.350","0.250","0.120","0.060","0.030","0.060"
"202410","대전광역시 대덕구","30230","0.130","0.380","0.260","0.110","0.050","0.030","0.040"
"202410","대전광역시 동구","30110","0.190","0.410","0.220","0.090","0.040","0.020","0.030"
"202410","대전광역시 서구","30170","0.120","0.350","0.260","0.120","0.060","0.030","0.070"
"202410","대전광역시 유성구","30200","0.100","0.300","0.240","0.130","0.070","0.050","0.110"
"202410","대전광역시 중구","30140","0.130","0.380","0.250","0.110","0.050","0.030","0.050"
"202410","부산광역시 강서구","26440","0.070","0.300","0.280","0.140","0.070","0.050","0.080"
"202410","부산광역시 금정구","26410","0.150","0.400","0.220","0.100","0.050","0.020","0.050"
"202410","부산광역시 기장군","26710","0.110","0.350","0.260","0.120","0.060","0.030","0.050"
"202410","부산광역시 남구","26290","0.150","0.380","0.220","0.100","0.050","0.030","0.060"
"202410","부산광역시 동구","26170","0.160","0.420","0.230","0.100","0.040","0.020","0.030"
"202410","부산광역시 동래구","26260","0.110","0.360","0.250","0.110","0.060","0.030","0.070"
"202410","부산광역시 부산진구","26230","0.130","0.400","0.250","0.110","0.050","0.020","0.040"
"202410","부산광역시 북구","26320","0.130","0.380","0.260","0.110","0.050","0.030","0.040"
"202410","부산광역시 사상구","26530","0.150","0.410","0.250","0.110","0.040","0.020","0.020"
"202410","부산광역시 사하구","26380","0.130","0.400","0.260","0.110","0.050","0.020","0.030"
"202410","부산광역시 서구","26140","0.150","0.410","0.230","0.100","0.050","0.020","0.040"
"202410","부산광역시 수영구","26500","0.110","0.400","0.250","0.110","0.050","0.030","0.050"
"202410","부산광역시 연제구","26470","0.110","0.380","0.250","0.110","0.060","0.030","0.060"
"202410","부산광역시 영도구","26200","0.160","0.450","0.220","0.090","0.040","0.020","0.020"
"202410","부산광역시 중구","26110","0.170","0.440","0.230","0.090","0.030","0.010","0.020"
"202410","부산광역시 해운대구","26350","0.110","0.350","0.240","0.120","0.060","0.030","0.090"
"202410","서울특별시 강남구","11680","0.080","0.280","0.210","0.130","0.070","0.050","0.190"
"202410","서울특별시 강동구","11740","0.090","0.350","0.260","0.120","0.060","0.040","0.080"
"202410","서울특별시 강북구","11305","0.130","0.420","0.250","0.100","0.040","0.020","0.030"
"202410","서울특별시 강서구","11500","0.100","0.350","0.260","0.130","0.060","0.040","0.070"
"202410","서울특별시 관악구","11620","0.120","0.400","0.260","0.110","0.050","0.020","0.040"
"202410","서울특별시 광진구","11215","0.120","0.380","0.240","0.110","0.050","0.030","0.060"
"202410","서울특별시 구로구","11530","0.130","0.400","0.240","0.110","0.050","0.030","0.050"
"202410","서울특별시 금천구","11545","0.130","0.410","0.250","0.110","0.050","0.020","0.030"
"202410","서울특별시 노원구","11350","0.120","0.350","0.250","0.120","0.060","0.030","0.070"
"202410","서울특별시 도봉구","11320","0.120","0.390","0.260","0.110","0.050","0.030","0.040"
"202410","서울특별시 동대문구","11230","0.150","0.410","0.210","0.100","0.050","0.030","0.050"
"202410","서울특별시 동작구","11590","0.120","0.360","0.240","0.120","0.060","0.030","0.080"
"202410","서울특별시 마포구","11440","0.110","0.340","0.230","0.120","0.060","0.040","0.100"
"202410","서울특별시 서대문구","11410","0.130","0.390","0.220","0.100","0.050","0.030","0.070"
"202410","서울특별시 서초구","11650","0.070","0.260","0.210","0.130","0.080","0.050","0.190"
"202410","서울특별시 성동구","11200","0.110","0.350","0.220","0.120","0.060","0.040","0.100"
"202410","서울특별시 성북구","11290","0.140","0.380","0.220","0.110","0.050","0.030","0.070"
"202410","서울특별시 송파구","11710","0.080","0.300","0.240","0.130","0.070","0.040","0.130"
"202410","서울특별시 양천구","11470","0.100","0.330","0.240","0.120","0.060","0.040","0.110"
"202410","서울특별시 영등포구","11560","0.120","0.370","0.220","0.110","0.060","0.030","0.090"
"202410","서울특별시 용산구","11170","0.100","0.360","0.220","0.120","0.060","0.040","0.110"
"202410","서울특별시 은평구","11380","0.110","0.370","0.260","0.120","0.060","0.030","0.060"
"202410","서울특별시 종로구","11110","0.140","0.390","0.210","0.100","0.050","0.030","0.080"
"202410","서울특별시 중구","11140","0.140","0.400","0.200","0.100","0.050","0.030","0.070"
"202410","서울특별시 중랑구","11260","0.110","0.390","0.270","0.110","0.050","0.020","0.040"
"202410","없음(세종시)","36110","0.100","0.270","0.250","0.130","0.080","0.060","0.120"
"202410","울산광역시 남구","31140","0.090","0.330","0.250","0.130","0.070","0.040","0.100"
"202410","울산광역시 동구","31170","0.090","0.350","0.260","0.130","0.070","0.040","0.070"
"202410","울산광역시 북구","31200","0.070","0.280","0.280","0.130","0.080","0.050","0.110"
"202410","울산광역시 울주군","31710","0.100","0.350","0.270","0.130","0.060","0.040","0.060"
"202410","울산광역시 중구","31110","0.100","0.340","0.260","0.120","0.060","0.040","0.080"
"202410","인천광역시 강화군","28710","0.130","0.420","0.260","0.090","0.040","0.020","0.030"
"202410","인천광역시 계양구","28245","0.110","0.390","0.280","0.120","0.050","0.020","0.030"
"202410","인천광역시 남동구","28200","0.110","0.370","0.270","0.120","0.060","0.030","0.040"
"202410","인천광역시 동구","28140","0.150","0.380","0.250","0.110","0.050","0.020","0.030"
"202410","인천광역시 미추홀구","28177","0.140","0.400","0.250","0.110","0.050","0.020","0.030"
"202410","인천광역시 부평구","28237","0.110","0.380","0.270","0.120","0.060","0.030","0.040"
"202410","인천광역시 서구","28260","0.100","0.340","0.270","0.130","0.060","0.030","0.060"
"202410","인천광역시 연수구","28185","0.110","0.310","0.240","0.120","0.070","0.040","0.110"
"202410","인천광역시 옹진군","28720","0.120","0.440","0.250","0.100","0.040","0.020","0.030"
"202410","인천광역시 중구","28110","0.100","0.340","0.270","0.130","0.070","0.040","0.060"
"202410","전라남도 강진군","46810","0.130","0.460","0.230","0.080","0.040","0.020","0.030"
"202410","전라남도 고흥군","46770","0.140","0.500","0.230","0.070","0.030","0.010","0.020"
"202410","전라남도 곡성군","46720","0.130","0.470","0.230","0.080","0.040","0.020","0.030"
"202410","전라남도 광양시","46230","0.090","0.330","0.280","0.130","0.070","0.040","0.080"
"202410","전라남도 구례군","46730","0.150","0.430","0.250","0.090","0.040","0.020","0.030"
"202410","전라남도 나주시","46170","0.120","0.400","0.250","0.100","0.060","0.030","0.050"
"202410","전라남도 담양군","46710","0.100","0.430","0.260","0.100","0.050","0.020","0.040"
"202410","전라남도 목포시","46110","0.140","0.380","0.260","0.110","0.050","0.020","0.040"
"202410","전라남도 무안군","46840","0.120","0.390","0.240","0.110","0.050","0.030","0.050"
"202410","전라남도 보성군","46780","0.150","0.470","0.230","0.080","0.030","0.020","0.030"
"202410","전라남도 순천시","46150","0.110","0.340","0.270","0.120","0.060","0.030","0.060"
"202410","전라남도 신안군","46910","0.130","0.490","0.230","0.080","0.030","0.010","0.020"
"202410","전라남도 여수시","46130","0.120","0.360","0.250","0.110","0.060","0.030","0.070"
"202410","전라남도 영광군","46870","0.150","0.420","0.240","0.090","0.040","0.020","0.040"
"202410","전라남도 영암군","46830","0.090","0.470","0.260","0.110","0.030","0.010","0.030"
"202410","전라남도 완도군","46890","0.150","0.440","0.240","0.090","0.040","0.020","0.020"
"202410","전라남도 장성군","46880","0.120","0.450","0.250","0.100","0.040","0.020","0.030"
"202410","전라남도 장흥군","46800","0.130","0.440","0.240","0.090","0.040","0.020","0.030"
"202410","전라남도 진도군","46900","0.130","0.480","0.230","0.080","0.040","0.020","0.030"
"202410","전라남도 함평군","46860","0.140","0.460","0.230","0.080","0.040","0.020","0.030"
"202410","전라남도 해남군","46820","0.140","0.480","0.220","0.080","0.040","0.020","0.030"
"202410","전라남도 화순군","46790","0.130","0.420","0.250","0.100","0.050","0.020","0.030"
"202410","전북특별자치도 고창군","52790","0.130","0.460","0.240","0.080","0.040","0.020","0.030"
"202410","전북특별자치도 군산시","52130","0.130","0.380","0.250","0.110","0.050","0.030","0.050"
"202410","전북특별자치도 김제시","52210","0.150","0.440","0.240","0.090","0.040","0.020","0.030"
"202410","전북특별자치도 남원시","52190","0.140","0.400","0.260","0.100","0.050","0.020","0.030"
"202410","전북특별자치도 무주군","52730","0.150","0.430","0.240","0.090","0.050","0.020","0.030"
"202410","전북특별자치도 부안군","52800","0.150","0.440","0.240","0.080","0.040","0.020","0.030"
"202410","전북특별자치도 순창군","52770","0.130","0.450","0.230","0.080","0.040","0.020","0.030"
"202410","전북특별자치도 완주군","52710","0.110","0.390","0.260","0.110","0.050","0.030","0.050"
"202410","전북특별자치도 익산시","52140","0.140","0.390","0.250","0.110","0.050","0.020","0.040"
"202410","전북특별자치도 임실군","52750","0.140","0.460","0.240","0.080","0.040","0.020","0.030"
"202410","전북특별자치도 장수군","52740","0.120","0.460","0.250","0.090","0.040","0.020","0.020"
"202410","전북특별자치도 전주시 덕진구","52113","0.120","0.350","0.250","0.120","0.060","0.030","0.070"
"202410","전북특별자치도 전주시 완산구","52111","0.130","0.360","0.250","0.110","0.050","0.030","0.060"
"202410","전북특별자치도 정읍시","52180","0.150","0.410","0.250","0.100","0.040","0.020","0.030"
"202410","전북특별자치도 진안군","52720","0.130","0.460","0.240","0.090","0.040","0.020","0.030"
"202410","제주특별자치도 서귀포시","50130","0.110","0.390","0.270","0.110","0.050","0.020","0.040"
"202410","제주특별자치도 제주시","50110","0.120","0.370","0.270","0.110","0.050","0.030","0.040"
"202410","충청남도 계룡시","44250","0.080","0.320","0.270","0.120","0.070","0.050","0.090"
"202410","충청남도 공주시","44150","0.140","0.420","0.250","0.100","0.050","0.020","0.030"
"202410","충청남도 금산군","44710","0.150","0.430","0.240","0.090","0.040","0.020","0.030"
"202410","충청남도 논산시","44230","0.130","0.440","0.250","0.090","0.040","0.020","0.030"
"202410","충청남도 당진시","44270","0.100","0.340","0.270","0.120","0.060","0.040","0.070"
"202410","충청남도 보령시","44180","0.130","0.410","0.250","0.100","0.050","0.020","0.040"
"202410","충청남도 부여군","44760","0.140","0.450","0.240","0.080","0.040","0.020","0.030"
"202410","충청남도 서산시","44210","0.100","0.340","0.260","0.120","0.060","0.040","0.070"
"202410","충청남도 서천군","44770","0.150","0.450","0.240","0.080","0.040","0.020","0.030"
"202410","충청남도 아산시","44200","0.100","0.330","0.250","0.130","0.070","0.040","0.080"
"202410","충청남도 예산군","44810","0.130","0.410","0.250","0.100","0.050","0.020","0.030"
"202410","충청남도 천안시 동남구","44131","0.130","0.370","0.250","0.110","0.060","0.030","0.040"
"202410","충청남도 천안시 서북구","44133","0.100","0.320","0.260","0.130","0.070","0.040","0.080"
"202410","충청남도 청양군","44790","0.120","0.460","0.250","0.090","0.040","0.020","0.030"
"202410","충청남도 태안군","44825","0.130","0.420","0.260","0.090","0.040","0.020","0.030"
"202410","충청남도 홍성군","44800","0.130","0.390","0.250","0.110","0.050","0.030","0.040"
"202410","충청북도 괴산군","43760","0.140","0.450","0.250","0.090","0.040","0.020","0.020"
"202410","충청북도 단양군","43800","0.140","0.410","0.250","0.100","0.050","0.020","0.030"
"202410","충청북도 보은군","43720","0.150","0.430","0.240","0.090","0.040","0.020","0.030"
"202410","충청북도 영동군","43740","0.140","0.420","0.250","0.090","0.040","0.020","0.030"
"202410","충청북도 옥천군","43730","0.150","0.430","0.250","0.090","0.040","0.020","0.030"
"202410","충청북도 음성군","43770","0.110","0.420","0.260","0.110","0.050","0.020","0.020"
"202410","충청북도 제천시","43150","0.130","0.380","0.260","0.110","0.050","0.030","0.040"
"202410","충청북도 증평군","43745","0.110","0.370","0.280","0.120","0.060","0.030","0.040"
"202410","충청북도 진천군","43750","0.100","0.380","0.270","0.130","0.060","0.030","0.040"
"202410","충청북도 청주시 상당구","43111","0.110","0.350","0.270","0.120","0.060","0.030","0.050"
"202410","충청북도 청주시 서원구","43112","0.120","0.360","0.260","0.120","0.060","0.030","0.050"
"202410","충청북도 청주시 청원구","43114","0.100","0.340","0.260","0.130","0.070","0.040","0.060"
"202410","충청북도 청주시 흥덕구","43113","0.100","0.330","0.260","0.130","0.070","0.040","0.080"
"202410","충청북도 충주시","43130","0.130","0.390","0.250","0.110","0.050","0.030","0.040"
